In Java's regular expressions, '\d' looks for __	digits	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><div align="left"><code><div><div><br /></div><div><div>import java.util.*;</div><div>class Shape {}</div><div>class Circle extends Shape {}</div><div>class Rectangle extends Shape {}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;ArrayList&lt;? extends Shape&gt; a = new ArrayList&lt;? extends Shape&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>a.add(new Circle());</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;a.add(new Rectangle());</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Shape s = a.get(1);</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println(s.getClass());</div><div>} }</div></div></div></code></div></div></span>	compile error<div><br /></div><div>? indicates an unknown type. The compiler does not allow adding or inserting into such types</div>	
<span style=" font-style: normal; font-weight: normal;">Does the following compile without error or warning?<div><div align="left"><code><div><div><br /></div><div><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List l = new LinkedList();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(1);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add("howdy");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(true);</div><div>} }</div></div></div></div></code></div></div></span>	no<div><br /></div><div>this compiles with warnings</div>	
<span style=" font-style: normal; font-weight: normal;">Does the following compile without error or warning?<div><div align="left"><code><div><div><br /></div><div><div><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;Object&gt; l = new LinkedList&lt;Object&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(1);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add("howdy");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(true);</div><div>} }</div></div></div></div></div></code></div></div></span>	yes	
The collection class java.util.LinkedHashMap can be used to maintain the entries in the order in which they were last accessed. T/F	true	
<span style=" font-style: normal; font-weight: normal;">The collection class java.util.HashSet can be used to maintain the entries in the order in which they were last accessed. T/F</span>	false	
<span style=" font-style: normal; font-weight: normal;">The collection class java.util.Hashtable can be used to maintain the entries in the order in which they were last accessed. T/F</span>	false	
The collection class java.util.Vector can be used to maintain the entries in the order in which they were last accessed. T/F	false	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;String s1 = "a";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "b";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static String greater(String a, String b) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;return a;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return b;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}&nbsp;</div></div></div></div></code></div></div></span>	b	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s1 = "B";</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;String s2 = "a";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return a;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	a	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s1 = "B";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "C";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></div></code></div></div></span>	C	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;String s1 = "z";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = " ";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a;</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return b;</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return a + " EQUAL " + b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></code></div></div></span>	z	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;String s1 = " ";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "C";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static String greater(String a, String b) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return b;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	C	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s1 = "1";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = " ";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	1	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s1 = "1";</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;String s2 = "9";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return a;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	9	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;String s1 = "e";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "9";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(greater(s1, s2));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static String greater(String a, String b) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return b;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	e	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;String s1 = "a";</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "aa";</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println(greater(s1, s2));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static String greater(String a, String b) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return a;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return b;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}&nbsp;</div></div></div></div></div></code></div></div></span>	aa	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s1 = "z";</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String s2 = "aa";</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println(greater(s1, s2));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static String greater(String a, String b) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(a.compareTo(b) &gt; 0)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return a;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else if(a.compareTo(b) &lt; 0)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return b;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return a + " EQUAL " + b;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}&nbsp;</div></div></div></div></div></div></code></div></div></span>	z	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div>import java.util.*;</div><div>class Example</div><div>{</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;Integer&gt; list = new LinkedList&lt;Integer&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>list.add(1); list.add(2); list.add(-2);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(Iterator i=list.iterator(); i.hasNext(); ){</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Integer in = i.next();</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(in);</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div></div></div></div></div></code></div></div></span>	compile error<div><br /></div><div>i.next() return type is Object. Object cannot be assigned to an Integer</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div><div>import java.util.*;</div><div>class Example</div><div>{</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;Integer&gt; list = new LinkedList&lt;Integer&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>list.add(1); list.add(2); list.add(-2);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(Iterator&lt;Integer&gt; i=list.iterator(); i.hasNext(); ){</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Integer in = i.next();</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(in);</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div></div></div></div></div></div></code></div></div></span>	1<div>2</div><div>-2</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div><div><div><div><div>import java.util.*;</div><div>class Example</div><div>{</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;String&gt; list = new LinkedList&lt;String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>list.add("Apple"); list.add("Melon"); list.add("Mango");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(Iterator&lt;String&gt; i=list.iterator(); i.hasNext(); ){</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String in = i.next();</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(in);</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div></div></div></div></div></div></div></code></div></div></span>	Apple<div>Melon</div><div>Mango</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><div align="left"><code><div><div><div><div><div><div><div><div><br /></div><div><div>import java.util.*;</div><div>class Example</div><div>{</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;List&lt;String&gt; list = new LinkedList&lt;String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>list.add("Apple"); list.add("Melon"); list.add("Mango");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;for(Iterator i=list.iterator(); i.hasNext(); ){</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String in = i.next();</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println(in);</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div></div></div></div></div></div></div></div></div></code></div></div></span>	compile error<div><br /></div><div>i.next() return type is Object. Object cannot be assigned to a String</div>	
Is this a compilable abstract class?<br><div align="left"><code><br><div><br /></div><div><div>public abstract class Example {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>abstract public void foo();</div><div>}</div></div><br></code><br></div>	yes	
<span style=" font-style: normal; font-weight: normal;">Is this a compilable abstract class?<div align="left"><code><div><br /></div><div><div><div>public abstract class Example {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>abstract public void foo() { }</div><div>}</div></div></div></code></div></span>	no<div><br /></div><div>abstract methods cannot have a body</div>	
<span style=" font-style: normal; font-weight: normal;">Is this a compilable abstract class?<div align="left"><code><div><br /></div><div><div><div><div><div>public abstract class Example {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public void foo();</div><div>}</div></div></div></div></div></code></div></span>	no<div><br /></div><div>the method should be declared abstract OR given a body</div>	
<span style=" font-style: normal; font-weight: normal;">Is this a compilable abstract class?<div align="left"><code><div><br /></div><div><div><div>public class Example {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>abstract public void foo();</div><div>}</div></div></div></code></div></span>	no<div><br /></div><div>class Example is not an abstract class</div>	
Does this compile successfully?<br><div align="left"><code><br><div><br /></div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static &lt;T&gt; List&lt;T&gt; foo(List&lt;T&gt; input) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div><br></code><br></div>	yes	
<span style=" font-style: normal; font-weight: normal;">Does this compile successfully?<div align="left"><code><div><br /></div><div><div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static &lt;T&gt; List&lt;? extends T&gt; foo(List&lt;T&gt; input) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></div></div></code></div></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Does this compile successfully?<div align="left"><code><div><br /></div><div><div><div><div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static &lt;T&gt; List&lt;? extends T&gt; foo(List&lt;? extends T&gt; input) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></div></div></code></div></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Does this compile successfully?<div align="left"><code><div><br /></div><div><div><div><div><div><div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static List&lt;? extends T&gt; &lt;T&gt; foo(List&lt;? super T&gt; input) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></div></div></div></div></code></div></span>	no<div><br /></div><div>the method header should be:</div><div><br /></div><div>public static &lt;T&gt; List&lt;? extends T&gt; foo(...)</div>	
<span style=" font-style: normal; font-weight: normal;">Does this compile successfully?<div align="left"><code><div><br /></div><div><div><div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static &lt;? extends T&gt; List&lt;T&gt; foo(List&lt;T&gt; input) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></div></div></div></code></div></span>	no<div><br /></div><div>wildcards cannot be used in the type variable declaration</div>	
<span style=" font-style: normal; font-weight: normal;">Does this compile successfully?<div align="left"><code><div><br /></div><div><div><div><div><div><div>import java.util.*;</div><div>public class Example {&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static &lt;? super T&gt; List&lt;T&gt; foo(List&lt;? extends T&gt; input) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>List&lt;T&gt; output = new LinkedList&lt;T&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>//do things</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return output;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></div></div></code></div></span>	no<div><br /></div><div>wildcards cannot be used in the type declaration</div>	
